crop_type,sensor_nitrogen,sensor_phosphorus,sensor_potassium,soil_pH,soil_moisture_percent,soil_electrical_conductivity_us_cm,soil_temperature_celsius,fertilizer_urea_kg_per_ha,fertilizer_dap_kg_per_ha,fertilizer_map_kg_per_ha,fertilizer_mop_kg_per_ha,fertilizer_sop_kg_per_ha,fertilizer_can_kg_per_ha,fertilizer_ssp_kg_per_ha,fertilizer_ammonium_sulfate_kg_per_ha
Sorghum,233.15,30.69,198.29,6.9,27.73,1402.84,31.32,50.0,20.0,10.0,30.0,10.0,20.0,38.57,20.0
Wheat,94.17,41.65,115.81,6.27,14.18,1324.62,28.05,200.0,20.0,10.0,30.36,15.32,100.0,30.0,100.0
Wheat,126.91,17.75,189.65,6.55,25.74,189.97,19.72,200.0,80.83,34.71,30.0,10.0,100.0,150.0,100.0
Maize,223.1,22.32,364.0,5.92,36.58,1678.44,31.15,92.67,57.15,30.27,30.0,10.0,86.84,150.0,80.25
Barley,235.46,51.97,265.4,7.18,39.9,1901.04,19.84,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,179.93,26.71,142.03,6.54,10.0,183.46,21.39,200.0,63.29,21.74,40.96,13.61,100.0,150.0,100.0
Rice,149.93,59.27,383.16,6.97,27.6,1675.83,28.25,50.0,20.0,10.0,30.0,10.0,44.28,30.0,36.13
Soybean,274.55,33.9,215.88,7.5,39.9,1999.72,25.77,50.0,20.31,10.0,30.0,10.0,20.0,83.95,20.0
Barley,257.51,25.72,275.39,6.66,12.45,125.09,14.29,50.0,47.88,23.65,30.0,10.0,20.0,150.0,20.0
Sorghum,310.58,29.33,214.3,7.44,39.9,1198.41,35.0,50.0,20.0,12.83,30.0,10.0,20.0,90.46,20.0
Groundnut,81.0,41.99,157.38,6.95,10.0,842.99,28.09,50.0,56.14,19.83,88.0,49.5,38.35,150.0,48.87
Barley,191.81,58.22,297.89,6.39,23.18,1211.72,17.82,56.49,20.0,10.0,30.0,10.0,45.99,30.0,39.22
Wheat,156.09,40.89,399.0,7.36,20.27,1510.13,28.13,91.27,20.0,10.0,30.0,10.0,77.3,30.0,60.67
Wheat,291.55,47.21,292.53,7.11,19.45,982.41,28.11,64.4,20.0,10.0,30.0,10.0,49.21,30.0,40.62
Groundnut,223.79,65.97,399.0,7.08,35.67,1753.96,30.84,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,206.03,23.11,211.7,5.59,21.37,892.07,20.25,147.53,50.11,28.58,30.0,10.0,100.0,150.0,100.0
Barley,216.23,21.36,314.96,7.47,15.28,1531.05,21.81,50.0,36.45,20.6,30.0,10.0,27.62,150.0,27.45
Barley,184.83,37.23,100.0,6.96,12.65,833.44,18.45,77.91,20.0,10.0,51.2,14.71,76.71,67.88,46.75
Wheat,326.86,11.81,331.51,7.27,31.63,350.55,19.2,50.0,97.85,42.14,30.0,10.0,50.37,150.0,38.3
Groundnut,294.68,11.01,399.0,6.47,29.52,1977.91,27.96,50.0,39.55,16.54,30.0,10.0,20.0,150.0,20.0
Cotton,233.13,61.28,147.22,6.8,25.38,399.4,25.73,109.08,20.0,10.0,73.32,35.36,100.0,30.0,86.24
Barley,269.49,46.43,372.36,6.21,29.39,881.32,19.57,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,284.18,31.07,120.9,7.22,10.0,282.95,19.23,50.0,43.12,19.76,36.96,17.66,20.0,150.0,20.0
Barley,303.73,37.22,317.53,6.65,39.9,1464.3,21.44,50.0,20.0,10.0,30.0,10.0,20.0,31.45,20.0
Sorghum,349.0,70.0,136.14,6.57,39.9,210.39,30.82,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,289.09,44.84,228.42,5.85,34.51,1045.7,31.04,50.0,27.77,11.61,31.58,14.03,20.0,139.48,20.0
Groundnut,149.94,26.16,325.72,6.36,17.87,1100.39,28.91,50.0,66.81,26.05,30.0,10.0,20.0,150.0,20.0
Barley,167.54,57.12,182.09,5.84,37.11,375.99,25.01,132.68,20.0,10.0,30.0,10.0,100.0,30.0,98.58
Groundnut,120.3,45.88,245.93,6.4,28.95,1056.13,21.39,50.0,23.79,10.57,30.0,11.06,20.0,124.8,20.0
Cotton,220.36,21.45,100.0,6.73,10.0,1823.87,27.96,70.11,37.32,17.63,58.05,22.84,48.04,150.0,38.03
Soybean,166.13,26.63,260.49,7.24,31.7,1756.11,20.47,50.0,29.68,11.95,30.0,10.0,20.0,134.72,20.0
Soybean,322.63,18.99,234.76,6.17,22.04,1310.14,22.9,50.0,43.71,24.88,30.0,10.0,20.0,150.0,20.0
Soybean,349.0,27.02,188.38,7.88,27.29,623.75,26.39,50.0,53.65,21.0,30.0,10.0,20.0,150.0,20.0
Maize,98.22,58.01,235.85,6.29,11.36,1220.47,24.28,200.0,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Sorghum,94.65,14.3,128.01,6.12,12.73,1033.13,25.58,145.37,70.52,28.17,30.0,10.0,100.0,150.0,100.0
Sorghum,349.0,23.06,137.46,6.69,38.22,1418.45,29.56,50.0,20.0,10.0,30.0,10.0,20.0,98.77,20.0
Sorghum,169.22,32.37,105.27,6.17,10.0,1358.53,30.32,50.0,20.0,10.0,30.0,10.0,47.7,52.82,51.95
Groundnut,180.8,10.0,310.36,5.82,16.69,1303.83,28.75,50.0,99.52,40.61,30.0,10.0,20.0,150.0,20.0
Soybean,228.13,55.01,173.61,6.98,13.02,1837.48,28.93,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,237.95,28.12,177.89,7.15,19.23,818.05,28.02,50.0,74.82,31.96,55.3,28.98,20.0,150.0,20.0
Maize,312.14,11.77,158.49,6.78,27.87,1031.14,25.06,61.11,77.65,36.14,30.0,10.0,68.63,150.0,49.31
Rice,132.5,26.08,100.0,5.83,10.0,763.73,27.01,200.0,94.44,38.36,44.68,15.33,100.0,150.0,100.0
Rice,94.34,55.94,100.0,5.7,18.15,1954.4,32.54,95.25,20.0,10.0,30.0,11.88,88.36,30.0,81.59
Barley,154.23,57.96,271.55,6.83,26.58,459.98,15.76,118.66,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Cotton,148.73,52.8,399.0,7.75,37.41,402.38,30.28,185.68,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Barley,84.81,50.04,352.13,6.41,26.64,1482.54,25.4,85.39,20.0,10.0,30.0,10.0,80.13,30.0,74.86
Soybean,131.47,36.11,127.27,7.32,12.21,1551.95,29.39,50.0,20.0,13.52,30.0,10.7,26.76,122.28,26.12
Rice,247.48,51.74,100.0,7.41,26.5,1801.83,32.07,50.0,20.0,10.0,30.0,10.0,20.74,30.0,24.61
Sorghum,96.31,33.87,381.61,6.5,27.46,1159.13,30.77,86.59,20.0,10.0,30.0,10.0,73.17,37.08,65.35
Soybean,189.17,21.8,115.07,6.82,10.13,1553.21,26.25,50.0,63.25,21.44,30.0,11.24,20.0,150.0,20.0
Wheat,213.44,26.81,226.48,5.89,27.83,960.15,20.04,120.52,41.48,13.58,30.0,10.0,100.0,150.0,100.0
Rice,146.39,57.57,248.25,7.65,35.25,1973.01,20.85,50.0,20.0,10.0,30.0,10.0,35.91,30.0,33.25
Rice,295.18,30.17,195.75,7.33,21.47,239.34,24.94,50.0,59.23,25.59,30.0,10.0,20.0,150.0,20.0
Wheat,81.0,33.96,176.75,6.96,15.12,1313.44,23.48,200.0,20.0,13.18,30.0,10.0,100.0,93.58,100.0
Barley,273.08,28.35,399.0,6.93,12.39,129.2,21.81,50.0,32.33,13.81,30.0,10.0,20.0,150.0,20.0
Maize,247.78,58.07,167.78,6.52,32.94,106.01,23.61,162.45,20.0,10.0,36.46,11.77,100.0,30.0,100.0
Wheat,115.65,62.38,399.0,6.66,39.9,1057.4,18.84,140.74,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Groundnut,185.18,23.09,100.0,6.01,18.88,570.56,29.34,50.0,100.0,48.46,100.0,50.0,20.0,150.0,20.0
Soybean,188.68,44.44,175.68,6.37,13.42,846.62,21.49,50.0,20.0,10.0,30.0,10.0,20.0,81.71,20.0
Barley,210.82,53.13,179.15,5.97,12.47,469.64,23.81,71.78,20.0,10.0,30.0,10.0,65.97,30.0,64.38
Rice,203.98,24.63,149.0,5.95,19.23,1475.01,27.75,56.82,54.54,18.12,30.0,10.0,44.05,150.0,46.49
Rice,81.0,18.93,230.8,6.19,33.16,845.8,33.16,181.33,89.66,40.18,30.0,10.0,100.0,150.0,100.0
Rice,153.14,59.65,214.9,7.38,22.89,1967.28,35.0,60.19,20.0,10.0,30.0,10.0,52.14,30.0,49.7
Maize,125.9,38.21,342.19,7.44,34.41,1312.45,27.16,175.14,37.55,16.73,30.0,10.0,100.0,150.0,100.0
Soybean,206.73,70.0,399.0,7.04,39.9,1515.37,27.57,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Rice,216.65,31.0,245.56,7.15,13.45,1002.66,26.48,67.5,59.17,20.03,30.0,10.0,70.46,150.0,58.84
Groundnut,349.0,68.22,156.01,6.31,30.85,486.72,23.51,50.0,20.0,10.0,68.03,33.22,20.0,30.0,20.0
Groundnut,327.87,56.04,399.0,7.19,22.4,786.07,23.98,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Soybean,182.56,33.33,301.38,6.15,27.22,703.79,32.07,50.0,43.23,26.69,30.0,10.0,20.0,150.0,20.0
Groundnut,349.0,22.12,300.39,6.78,39.9,1093.4,31.66,50.0,66.19,28.87,30.0,10.0,20.0,150.0,20.0
Cotton,108.14,33.09,117.17,6.9,10.69,1270.11,24.34,138.28,20.0,13.95,63.56,26.71,100.0,118.38,100.0
Barley,217.2,43.64,309.13,6.25,16.93,709.95,16.18,68.69,20.0,10.0,30.0,10.0,49.02,30.0,44.23
Rice,279.85,16.94,237.12,6.9,12.25,1443.94,30.54,50.0,73.58,33.25,30.0,10.0,20.0,150.0,20.0
Barley,149.88,32.75,276.52,6.92,39.9,360.45,22.32,120.44,27.9,12.8,30.0,10.0,93.23,134.27,88.99
Wheat,236.76,35.42,176.23,6.04,11.31,895.4,23.73,137.92,20.06,10.0,30.0,10.0,100.0,104.36,100.0
Soybean,270.37,16.8,313.88,7.33,29.5,1862.98,19.65,50.0,33.44,13.65,30.0,10.0,20.0,150.0,20.0
Rice,134.38,52.93,210.0,7.02,15.72,411.72,26.41,145.97,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Rice,167.53,46.89,399.0,6.73,20.6,1083.32,27.38,59.32,20.0,10.0,30.0,10.0,66.62,30.0,63.54
Wheat,349.0,41.28,203.09,7.81,39.17,1533.63,19.13,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Sorghum,120.89,48.47,205.96,6.54,28.26,1052.4,33.28,98.96,20.0,10.0,30.0,10.0,78.68,30.0,75.69
Sorghum,192.75,55.35,100.0,6.73,17.82,118.63,34.31,70.44,20.0,10.0,34.81,20.38,45.9,30.0,55.4
Cotton,185.35,45.74,133.19,5.59,11.9,1111.17,30.93,159.7,20.0,10.0,71.03,38.82,100.0,30.0,100.0
Barley,129.55,32.79,247.58,7.23,21.47,1211.24,21.57,93.01,20.0,12.4,30.0,10.0,76.45,80.66,68.49
Rice,107.1,15.49,248.97,6.79,25.83,570.75,27.88,174.09,100.0,47.45,30.0,10.0,100.0,150.0,100.0
Maize,243.99,32.2,309.35,6.48,19.67,1832.76,24.01,52.27,26.44,14.98,30.0,10.0,62.9,124.29,41.0
Wheat,298.0,18.59,227.0,6.98,15.07,690.9,18.79,58.03,49.02,20.46,30.0,10.0,48.86,150.0,47.52
Groundnut,349.0,65.23,240.71,7.33,31.43,654.65,29.78,50.0,20.0,10.0,35.99,16.5,20.0,30.0,20.0
Barley,311.35,37.59,399.0,6.44,31.6,659.19,23.36,50.0,20.0,10.0,30.0,10.0,20.0,63.45,20.0
Barley,189.26,70.0,129.76,7.36,37.04,294.45,18.18,84.73,20.0,10.0,30.0,15.13,67.63,30.0,64.84
Wheat,315.24,21.55,397.83,6.74,19.44,274.26,23.81,55.08,57.08,18.77,30.0,10.0,50.06,150.0,42.13
Soybean,198.93,52.57,297.96,7.11,20.68,108.53,24.93,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Sorghum,81.0,39.0,102.45,5.5,16.79,830.13,26.25,164.71,20.0,10.0,36.86,16.13,100.0,30.0,100.0
Sorghum,238.01,39.71,165.22,7.07,35.91,918.67,32.64,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,251.21,37.34,227.8,6.73,31.69,1878.64,22.15,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,233.22,32.37,131.49,6.93,11.55,138.49,28.73,50.0,100.0,48.94,100.0,50.0,20.0,150.0,20.0
Barley,162.66,45.9,381.73,6.05,39.9,866.91,23.54,73.59,20.0,10.0,30.0,10.0,76.01,30.0,58.38
Maize,116.45,52.39,301.59,6.92,30.37,1891.85,32.47,85.23,20.0,10.0,30.0,10.0,81.15,30.0,60.69
Sorghum,283.54,43.0,393.57,7.02,28.17,573.62,23.07,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,201.62,21.84,136.11,7.42,39.9,718.65,28.01,50.0,100.0,47.03,85.46,36.02,20.0,150.0,20.0
Wheat,151.92,10.0,100.0,5.96,17.0,606.25,19.66,200.0,100.0,50.0,64.84,28.85,100.0,150.0,100.0
Groundnut,128.76,35.68,159.28,6.79,17.41,1797.67,27.56,50.0,37.15,15.72,48.03,17.93,20.0,150.0,20.0
Barley,84.13,46.26,207.27,6.85,20.58,1520.12,23.42,103.79,20.0,10.0,30.0,10.0,81.49,30.0,81.62
Sorghum,132.92,33.72,399.0,7.71,38.91,1462.45,28.19,50.0,20.0,10.0,30.0,10.0,52.29,30.0,47.03
Soybean,159.54,15.68,142.71,6.22,17.26,497.09,22.95,58.61,100.0,50.0,37.59,18.74,40.66,150.0,42.82
Maize,293.49,35.33,112.43,6.34,16.06,361.06,23.32,161.64,85.23,35.84,76.0,38.01,100.0,150.0,100.0
Maize,282.62,54.32,358.12,6.91,12.31,257.64,20.84,190.85,20.0,10.0,30.0,10.0,100.0,63.91,100.0
Wheat,165.44,16.03,202.31,7.09,11.56,1367.34,15.47,141.96,61.68,26.19,30.0,10.0,100.0,150.0,100.0
Groundnut,309.58,64.96,294.36,7.08,39.9,834.88,26.16,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,285.51,44.55,116.97,6.32,27.52,915.36,17.56,76.6,20.0,10.0,35.84,16.84,61.64,30.0,58.97
Sorghum,136.6,49.89,325.82,6.85,33.83,1461.01,29.55,50.0,20.0,10.0,30.0,10.0,50.85,30.0,40.45
Maize,83.29,52.14,100.0,6.04,15.64,875.34,24.77,200.0,20.0,10.0,69.16,28.6,100.0,102.59,100.0
Cotton,324.04,66.52,218.82,7.47,10.0,1181.12,26.45,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Sorghum,235.87,22.74,339.86,7.16,27.79,1268.26,31.23,50.0,26.36,14.41,30.0,10.0,20.0,124.34,20.0
Barley,312.56,42.19,241.59,6.13,31.02,1826.18,20.84,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,268.02,14.13,155.11,6.58,18.37,1623.36,16.76,50.0,31.26,13.12,30.0,10.0,20.0,142.53,20.0
Wheat,153.45,19.65,136.7,6.41,22.75,1278.24,21.27,140.94,42.76,20.76,30.0,10.86,100.0,150.0,100.0
Wheat,118.69,24.76,128.02,6.32,12.12,589.9,22.17,200.0,43.58,22.51,33.71,22.65,100.0,150.0,100.0
Groundnut,86.53,48.79,147.54,5.61,17.2,1012.47,28.6,50.0,26.05,14.09,77.01,35.53,37.4,131.73,23.89
Maize,237.69,46.73,263.7,6.89,38.97,1532.09,28.32,73.57,20.34,10.0,30.0,10.0,76.3,65.67,70.69
Groundnut,289.54,23.62,399.0,7.13,31.21,993.67,23.66,50.0,79.04,32.25,30.0,10.0,20.0,150.0,20.0
Soybean,135.3,55.43,399.0,6.21,25.8,1198.61,23.9,50.0,20.0,10.0,30.0,10.0,31.84,30.0,20.01
Groundnut,105.58,34.75,219.78,5.81,18.7,604.32,29.61,50.0,77.78,38.04,66.85,25.55,20.0,150.0,20.0
Maize,249.86,70.0,399.0,6.44,39.9,1116.02,30.17,126.42,20.0,10.0,30.0,10.0,100.0,30.0,93.47
Soybean,235.01,21.41,129.22,6.14,16.05,846.46,27.23,50.0,93.54,41.76,44.91,14.53,20.0,150.0,20.0
Cotton,346.11,26.27,399.0,6.9,13.69,1324.41,20.45,50.0,33.15,12.27,30.0,10.0,20.0,150.0,20.0
Rice,344.28,37.77,399.0,7.08,39.9,1544.6,33.61,50.0,20.0,10.0,30.0,10.0,20.0,75.81,20.0
Groundnut,152.99,53.29,168.5,6.96,13.31,479.23,26.43,50.0,20.0,11.05,70.18,40.43,20.0,82.42,20.0
Barley,349.0,21.94,135.54,6.18,11.55,1282.18,17.53,50.0,32.97,16.48,30.0,10.14,20.0,150.0,20.0
Wheat,284.36,42.67,399.0,5.88,27.27,452.94,23.17,62.33,20.0,10.0,30.0,10.0,66.82,30.0,58.83
Rice,309.07,14.59,378.79,6.69,14.92,1679.51,29.35,50.0,51.7,23.9,30.0,10.0,20.0,150.0,20.0
Soybean,269.72,63.99,361.4,6.41,36.84,981.44,27.25,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,291.03,23.4,399.0,7.22,39.9,1883.89,20.83,50.0,20.0,10.0,30.0,10.0,20.0,104.99,20.0
Rice,114.61,37.5,257.67,7.12,39.9,990.19,35.0,131.36,36.61,10.0,30.0,10.0,100.0,150.0,100.0
Wheat,265.6,30.99,228.91,7.08,14.81,1912.19,23.74,50.0,20.0,10.0,30.0,10.0,39.19,62.94,38.85
Cotton,310.69,58.41,398.63,7.06,16.43,1844.68,26.92,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Soybean,114.82,17.75,399.0,6.95,27.93,1648.09,18.76,50.0,36.65,13.92,30.0,10.0,35.18,150.0,23.93
Sorghum,349.0,16.24,309.9,7.96,18.15,1370.63,28.67,50.0,28.57,17.76,30.0,10.0,20.0,150.0,20.0
Rice,106.18,31.4,100.0,6.83,17.71,313.94,28.65,200.0,73.84,34.32,41.71,18.87,100.0,150.0,100.0
Sorghum,235.3,27.5,209.83,7.31,37.03,1274.49,29.15,50.0,27.99,10.07,30.0,10.0,20.0,103.1,20.0
Soybean,98.07,13.69,138.58,6.24,18.74,1174.89,25.87,73.8,84.91,40.31,32.61,10.0,56.08,150.0,56.64
Groundnut,84.24,27.61,226.02,6.78,31.56,798.06,29.08,50.0,66.96,31.07,38.72,19.45,24.03,150.0,20.0
Cotton,99.14,65.76,143.91,6.71,26.26,860.27,31.92,180.12,20.0,10.0,61.8,24.72,100.0,30.0,100.0
Cotton,98.97,33.63,293.31,5.97,20.56,644.39,20.48,200.0,40.42,19.69,30.0,10.0,100.0,150.0,100.0
Cotton,349.0,43.76,357.96,7.42,13.0,834.39,21.77,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,250.21,32.02,177.22,6.83,26.78,589.48,20.36,91.59,24.24,10.0,30.0,10.0,73.28,123.17,71.45
Groundnut,293.58,26.88,262.45,7.13,21.08,309.11,26.01,50.0,91.93,43.08,30.53,11.23,20.0,150.0,20.0
Sorghum,332.38,53.94,390.24,7.13,12.12,1758.14,23.17,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,209.77,24.71,220.09,6.77,34.18,1410.73,26.42,69.4,33.31,10.36,30.0,10.0,73.15,125.91,67.08
Wheat,209.42,37.05,128.73,6.31,16.66,505.67,20.41,189.51,20.0,10.08,43.01,19.5,100.0,69.72,100.0
Sorghum,220.46,62.18,180.81,6.84,39.48,901.01,34.37,50.0,20.0,10.0,30.0,10.0,20.0,30.0,28.76
Soybean,213.83,31.49,179.13,5.91,10.0,1577.64,22.52,50.0,39.12,21.59,30.0,10.0,20.0,150.0,20.0
Groundnut,300.9,18.72,383.94,7.23,30.05,642.72,23.72,50.0,100.0,48.62,30.0,10.0,20.0,150.0,20.0
Wheat,96.75,42.63,294.83,7.03,25.33,1506.59,15.48,131.66,20.0,10.0,30.0,10.0,100.0,30.0,94.08
Barley,252.16,55.48,353.93,6.64,19.31,1882.51,19.15,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Cotton,81.0,17.63,130.37,6.4,24.11,650.15,29.38,200.0,88.25,34.86,83.37,39.93,100.0,150.0,100.0
Soybean,163.12,10.96,153.85,5.99,23.77,1672.06,25.44,50.0,51.02,29.88,30.0,10.0,20.0,150.0,20.0
Barley,292.41,19.34,390.62,6.19,21.01,393.15,16.98,50.0,64.0,27.34,30.0,10.0,20.0,150.0,20.0
Soybean,279.75,41.96,399.0,7.9,13.85,1964.29,19.48,50.0,20.0,10.0,30.0,10.0,20.0,43.43,20.0
Groundnut,297.06,68.8,185.86,6.4,23.84,542.5,31.4,50.0,20.0,10.0,56.52,23.85,20.0,30.0,20.0
Rice,327.59,26.64,135.02,6.39,37.6,1315.86,31.2,50.0,33.81,15.77,30.0,10.0,20.0,150.0,20.0
Barley,157.51,47.45,103.53,5.61,22.0,673.06,23.48,122.86,20.0,10.0,45.49,20.92,100.0,30.0,95.68
Barley,308.84,50.72,399.0,7.34,26.52,1625.55,19.29,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Sorghum,201.92,47.67,207.78,6.69,12.81,1260.88,27.05,50.0,20.0,10.0,30.0,10.0,25.08,30.0,21.18
Maize,159.23,29.65,388.79,6.96,39.9,192.44,25.9,200.0,80.98,31.47,30.0,10.0,100.0,150.0,100.0
Barley,219.82,24.84,399.0,7.01,39.9,320.56,24.25,50.0,62.37,21.88,30.0,10.0,49.61,150.0,35.87
Maize,222.93,68.29,157.48,6.94,27.94,1761.51,20.56,71.45,20.0,10.0,30.0,12.69,46.82,30.0,50.51
Cotton,104.17,19.75,171.77,6.66,18.75,832.8,27.86,190.1,68.8,28.34,43.58,18.33,100.0,150.0,100.0
Cotton,155.66,23.36,152.25,6.4,10.0,943.25,27.98,171.14,59.88,31.48,62.31,21.41,100.0,150.0,100.0
Wheat,125.11,12.41,330.49,6.61,39.9,1658.29,24.15,86.27,30.74,11.43,30.0,10.0,75.93,150.0,74.33
Wheat,228.19,42.8,231.12,6.62,13.48,1851.92,19.58,50.0,20.0,10.0,30.0,10.0,33.41,30.0,35.17
Soybean,94.16,24.04,227.32,7.37,17.69,1966.37,29.37,50.0,42.65,17.26,30.0,10.0,22.21,150.0,28.62
Barley,193.77,29.75,399.0,7.45,39.9,1674.97,19.29,50.0,20.0,10.0,30.0,10.0,34.62,86.08,22.62
Sorghum,181.69,29.92,122.98,7.06,11.02,1136.73,33.05,58.39,20.0,10.0,30.0,10.0,51.29,99.41,32.37
Rice,172.38,17.24,100.0,6.17,21.02,1795.24,31.26,64.04,59.81,26.46,30.0,13.05,66.89,150.0,48.4
Wheat,105.83,58.51,132.16,6.99,25.21,1880.82,18.9,97.0,20.0,10.0,30.0,10.0,70.94,30.0,64.63
Wheat,90.82,70.0,187.87,7.18,34.61,1439.52,21.5,114.12,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Groundnut,342.14,24.97,123.54,5.89,37.9,1795.44,31.51,50.0,28.44,20.08,42.09,14.15,20.0,150.0,20.0
Cotton,177.91,23.88,167.83,6.89,10.76,229.79,30.74,200.0,91.81,33.76,80.02,35.21,100.0,150.0,100.0
Groundnut,99.04,48.08,100.0,6.84,22.5,1017.82,22.64,50.0,25.61,14.04,100.0,48.21,20.4,134.76,20.0
Cotton,108.57,40.35,100.0,6.51,13.95,186.17,26.11,200.0,20.0,10.0,100.0,50.0,100.0,92.59,100.0
Maize,81.0,14.48,100.0,5.89,10.0,1964.97,31.41,186.68,66.25,33.53,45.73,16.65,100.0,150.0,100.0
Sorghum,306.82,70.0,209.72,7.04,33.12,1105.48,35.0,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Cotton,222.12,32.23,278.0,6.94,14.71,1121.97,27.12,68.47,20.0,14.91,30.0,10.0,58.87,122.93,49.99
Maize,81.0,46.67,284.93,6.83,13.91,209.52,26.59,200.0,32.44,24.52,30.0,10.0,100.0,150.0,100.0
Rice,233.98,25.99,169.43,6.84,12.54,1351.68,24.28,59.36,62.63,28.72,30.0,10.0,42.6,150.0,32.15
Cotton,231.22,14.97,308.15,6.3,10.32,135.39,25.87,129.45,100.0,50.0,30.0,10.0,100.0,150.0,100.0
Soybean,223.18,43.32,100.0,6.16,10.0,1314.0,24.93,50.0,21.38,10.0,43.33,20.62,20.0,77.13,20.0
Rice,349.0,60.66,289.07,7.37,24.55,1721.48,34.16,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,240.13,21.5,115.59,5.57,11.96,1914.04,14.95,50.0,36.55,17.9,30.0,10.0,20.0,150.0,20.0
Barley,287.99,39.13,143.55,6.94,18.53,1144.39,17.22,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Cotton,268.57,36.26,266.05,6.49,13.62,1021.1,22.63,53.79,20.0,10.41,30.0,10.0,43.64,100.54,36.82
Barley,172.01,58.68,188.56,6.68,27.89,1382.31,16.49,50.0,20.0,10.0,30.0,10.0,56.44,30.0,46.43
Rice,81.0,14.7,132.13,7.34,15.34,1013.09,25.46,195.88,100.0,45.87,30.0,10.0,100.0,150.0,100.0
Maize,175.61,56.62,381.88,6.8,19.58,660.11,28.29,200.0,20.0,10.0,30.0,10.0,100.0,39.2,100.0
Wheat,111.18,13.67,399.0,6.98,24.24,197.23,17.02,194.49,77.77,26.71,30.0,10.0,100.0,150.0,100.0
Soybean,161.71,31.11,356.54,6.16,26.54,1123.38,29.17,50.0,29.51,12.41,30.0,10.0,20.0,150.0,20.0
Rice,330.63,59.05,163.25,6.52,14.91,1516.8,23.8,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,222.95,39.65,277.87,6.94,19.69,737.49,25.96,50.0,49.6,21.76,30.0,10.32,20.0,150.0,20.0
Barley,129.56,22.87,113.56,7.2,10.0,357.08,24.26,163.86,73.12,30.19,47.43,16.94,100.0,150.0,100.0
Rice,95.88,21.57,181.93,6.17,36.31,1862.82,27.18,67.95,30.72,12.51,30.0,10.0,65.76,143.69,56.87
Maize,251.99,70.0,120.62,6.16,16.85,1930.57,24.57,50.0,20.0,10.0,30.0,10.0,45.2,30.0,47.47
Barley,149.37,32.18,399.0,6.81,39.9,902.84,24.18,78.19,24.73,10.0,30.0,10.0,59.44,88.25,59.07
Barley,319.22,51.09,215.08,7.05,30.89,1832.59,16.84,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Maize,188.33,63.13,324.29,6.92,39.9,141.44,32.95,200.0,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Soybean,170.54,28.29,177.66,6.83,10.4,759.88,26.77,50.0,80.11,26.76,30.0,10.0,28.95,150.0,31.41
Barley,204.02,19.26,221.75,6.76,12.07,1995.68,16.16,50.0,31.22,16.17,30.0,10.0,35.19,147.29,27.81
Barley,231.07,22.07,152.79,6.37,33.88,551.91,15.49,50.0,64.93,29.15,30.0,10.0,38.84,150.0,31.66
Wheat,349.0,20.46,392.09,6.93,27.0,613.53,22.76,50.0,51.19,18.55,30.0,10.0,20.0,150.0,20.0
Rice,317.8,15.1,296.58,6.62,16.35,1030.53,20.81,50.0,74.63,30.87,30.0,10.0,20.0,150.0,20.0
Wheat,91.21,18.16,312.45,7.01,10.84,1190.19,16.99,200.0,66.37,25.27,30.0,10.0,100.0,150.0,100.0
